asus,"asus, 子龍, 大破, 禪風, 施崇棠. Zen, rog, zf, max pro, 5z, m1, m2"
oppo,"oppo, r15, r17, ax5, ax7, a3, find x"
samsung,"samsung, 三星, galaxy, s7, s8, s9, s10, note 8, note 9, a7, a8, j7, j8"
sony,"sony, 索尼, xperia, xa, xz"
htc,"htc, 宏達電, 王雪紅, uu, u11, u12, desire, exodus"
xiaomi,"xiaomi, 小米, 紅米, 紫米, 小愛, note 5, mix 2, mix 3, note 6, a2, poco, f1"
huawei,"huawei, 華為, mate, nova, y7, y9, p20"
vivo,"vivo, apex, nex, v11, x21, v9, y81"
lg,"lg, g6, g7, g8, k9, k11, v30, q7, v40, v20"
google,"google, 谷歌, pixel"
